Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
50831,947,10/8/2013 21:14,San Jose City Hall,10,10/8/2013 21:30,San Jose City Hall,10,25,Customer,95112
50833,3009,10/8/2013 21:17,Washington at Kearney,46,10/8/2013 22:08,Washington at Kearney,46,381,Customer,64701
50835,1321,10/8/2013 21:35,Market at 4th,76,10/8/2013 21:57,2nd at Folsom,62,593,Customer,95746
50836,249,10/8/2013 21:36,Townsend at 7th,65,10/8/2013 21:40,San Francisco Caltrain (Townsend at 4th),70,496,Subscriber,94158
50837,594,10/8/2013 21:40,Adobe on Almaden,5,10/8/2013 21:50,Japantown,9,106,Subscriber,95112
50840,815,10/8/2013 21:52,Grant Avenue at Columbus Avenue,73,10/8/2013 22:06,South Van Ness at Market,66,548,Subscriber,94102
50841,801,10/8/2013 21:58,Beale at Market,56,10/8/2013 22:11,2nd at Townsend,61,490,Subscriber,94107
50842,738,10/8/2013 21:59,Beale at Market,56,10/8/2013 22:11,2nd at Townsend,61,438,Subscriber,94107
50843,997,10/8/2013 22:16,San Jose Diridon Caltrain Station,2,10/8/2013 22:32,Japantown,9,82,Subscriber,95112
50844,878,10/8/2013 22:16,San Jose Diridon Caltrain Station,2,10/8/2013 22:31,Paseo de San Antonio,7,706,Subscriber,95112
50845,169,10/8/2013 22:18,Yerba Buena Center of the Arts (3rd @ Howard),68,10/8/2013 22:20,5th at Howard,57,447,Subscriber,94134
50846,209,10/8/2013 22:18,Santa Clara at Almaden,4,10/8/2013 22:21,San Jose Civic Center,3,68,Customer,2128
50847,613,10/8/2013 22:18,Temporary Transbay Terminal (Howard at Beale),55,10/8/2013 22:29,San Francisco Caltrain (Townsend at 4th),70,372,Subscriber,94119
50848,535,10/8/2013 22:21,Market at 4th,76,10/8/2013 22:30,San Francisco Caltrain (Townsend at 4th),70,572,Subscriber,94102
50850,353,10/8/2013 22:24,MLK Library,11,10/8/2013 22:30,SJSU - San Salvador at 9th,16,649,Subscriber,95112
50851,304,10/8/2013 22:25,2nd at Townsend,61,10/8/2013 22:30,Market at Sansome,77,607,Subscriber,94107
50853,1060,10/8/2013 22:31,Harry Bridges Plaza (Ferry Building),50,10/8/2013 22:49,Washington at Kearney,46,432,Subscriber,94085
50854,237,10/8/2013 22:36,Embarcadero at Vallejo,48,10/8/2013 22:40,Beale at Market,56,577,Subscriber,94609
50855,375,10/8/2013 22:37,Powell Street BART,39,10/8/2013 22:44,Commercial at Montgomery,45,272,Subscriber,94111
50856,429,10/8/2013 22:41,Grant Avenue at Columbus Avenue,73,10/8/2013 22:48,Embarcadero at Folsom,51,384,Customer,97214
50857,175,10/8/2013 22:48,Embarcadero at Folsom,51,10/8/2013 22:51,Embarcadero at Bryant,54,378,Subscriber,94107
50858,162,10/8/2013 22:53,Arena Green / SAP Center,14,10/8/2013 22:55,Santa Clara at Almaden,4,41,Subscriber,95113
50859,579,10/8/2013 23:06,Market at 10th,67,10/8/2013 23:16,Washington at Kearney,46,334,Subscriber,94133
50860,516,10/8/2013 23:07,Powell Street BART,39,10/8/2013 23:16,Commercial at Montgomery,45,606,Subscriber,94108
50861,495,10/8/2013 23:08,Yerba Buena Center of the Arts (3rd @ Howard),68,10/8/2013 23:16,Townsend at 7th,65,325,Subscriber,94107
50863,518,10/8/2013 23:40,2nd at Townsend,61,10/8/2013 23:49,Spear at Folsom,49,503,Subscriber,94105
50864,248,10/8/2013 23:42,2nd at Townsend,61,10/8/2013 23:46,San Francisco Caltrain (Townsend at 4th),70,454,Customer,94306
50865,675,10/8/2013 23:57,Townsend at 7th,65,10/9/2013 0:08,Civic Center BART (7th at Market),72,516,Subscriber,94103
50866,528,10/9/2013 0:10,South Van Ness at Market,66,10/9/2013 0:18,Powell at Post (Union Square),71,414,Subscriber,94109
50867,543,10/9/2013 0:11,Commercial at Montgomery,45,10/9/2013 0:20,5th at Howard,57,606,Subscriber,94107
50868,398,10/9/2013 0:25,Howard at 2nd,63,10/9/2013 0:32,San Francisco Caltrain (Townsend at 4th),70,461,Subscriber,94107
50869,911,10/9/2013 1:50,Palo Alto Caltrain Station,34,10/9/2013 2:05,Park at Olive,38,117,Subscriber,94301
50870,182,10/9/2013 4:10,2nd at Folsom,62,10/9/2013 4:13,Market at Sansome,77,540,Subscriber,94107
50871,113,10/9/2013 4:22,Howard at 2nd,63,10/9/2013 4:24,Market at Sansome,77,280,Subscriber,94105
50872,586,10/9/2013 4:44,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 4:54,Clay at Battery,41,372,Customer,
50873,718,10/9/2013 5:28,Embarcadero at Bryant,54,10/9/2013 5:40,Embarcadero at Sansome,60,513,Subscriber,94105
50874,282,10/9/2013 5:29,Grant Avenue at Columbus Avenue,73,10/9/2013 5:34,Market at Sansome,77,446,Subscriber,94133
50875,306,10/9/2013 5:34,Santa Clara at Almaden,4,10/9/2013 5:39,San Jose Diridon Caltrain Station,2,674,Subscriber,95110
50877,483,10/9/2013 5:43,Spear at Folsom,49,10/9/2013 5:51,San Francisco Caltrain (Townsend at 4th),70,602,Subscriber,94105
50878,411,10/9/2013 5:47,Spear at Folsom,49,10/9/2013 5:54,Market at Sansome,77,549,Subscriber,94105
50879,502,10/9/2013 5:49,2nd at Townsend,61,10/9/2013 5:57,Post at Kearney,47,523,Subscriber,94107
50880,416,10/9/2013 6:14,Beale at Market,56,10/9/2013 6:20,Commercial at Montgomery,45,331,Subscriber,94619
50882,323,10/9/2013 6:18,Harry Bridges Plaza (Ferry Building),50,10/9/2013 6:24,Embarcadero at Sansome,60,355,Subscriber,94957
50883,508,10/9/2013 6:19,Harry Bridges Plaza (Ferry Building),50,10/9/2013 6:27,Post at Kearney,47,521,Subscriber,94957
50885,227,10/9/2013 6:21,Steuart at Market,74,10/9/2013 6:24,Mechanics Plaza (Market at Battery),75,343,Subscriber,94104
50886,1052,10/9/2013 6:22,2nd at Townsend,61,10/9/2013 6:39,Embarcadero at Sansome,60,564,Subscriber,94107
50887,847,10/9/2013 6:25,Beale at Market,56,10/9/2013 6:39,San Francisco Caltrain (Townsend at 4th),70,577,Subscriber,94063
50889,558,10/9/2013 6:27,Embarcadero at Folsom,51,10/9/2013 6:36,San Francisco Caltrain 2 (330 Townsend),69,285,Subscriber,94105
50891,528,10/9/2013 6:31,Golden Gate at Polk,59,10/9/2013 6:40,Townsend at 7th,65,435,Subscriber,94118
50892,467,10/9/2013 6:37,5th at Howard,57,10/9/2013 6:44,Commercial at Montgomery,45,569,Subscriber,94103
50893,239,10/9/2013 6:38,2nd at South Park,64,10/9/2013 6:42,Howard at 2nd,63,637,Subscriber,94107
50894,359,10/9/2013 6:39,2nd at Folsom,62,10/9/2013 6:45,San Francisco Caltrain (Townsend at 4th),70,504,Subscriber,94107
50895,603,10/9/2013 6:41,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 6:51,Temporary Transbay Terminal (Howard at Beale),55,454,Subscriber,94403
50896,614,10/9/2013 6:41,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 6:51,Embarcadero at Folsom,51,398,Subscriber,94404
50897,915,10/9/2013 6:41,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 6:57,Embarcadero at Vallejo,48,496,Subscriber,95110
50898,819,10/9/2013 6:42,Davis at Jackson,42,10/9/2013 6:55,San Francisco Caltrain (Townsend at 4th),70,439,Subscriber,94111
50899,579,10/9/2013 6:43,Embarcadero at Sansome,60,10/9/2013 6:53,2nd at Townsend,61,564,Subscriber,94111
50900,441,10/9/2013 6:46,Townsend at 7th,65,10/9/2013 6:53,Powell Street BART,39,420,Customer,91402
50901,887,10/9/2013 6:47,Grant Avenue at Columbus Avenue,73,10/9/2013 7:01,San Francisco Caltrain 2 (330 Townsend),69,621,Subscriber,94133
50902,710,10/9/2013 6:47,Davis at Jackson,42,10/9/2013 6:59,San Francisco Caltrain (Townsend at 4th),70,617,Subscriber,94111
50903,515,10/9/2013 6:48,2nd at Townsend,61,10/9/2013 6:57,Beale at Market,56,509,Subscriber,94107
50905,247,10/9/2013 6:51,Yerba Buena Center of the Arts (3rd @ Howard),68,10/9/2013 6:55,Market at Sansome,77,352,Subscriber,94107
50906,251,10/9/2013 6:51,Yerba Buena Center of the Arts (3rd @ Howard),68,10/9/2013 6:55,Market at Sansome,77,336,Subscriber,94107
50908,687,10/9/2013 6:52,Temporary Transbay Terminal (Howard at Beale),55,10/9/2013 7:03,Golden Gate at Polk,59,603,Subscriber,94530
50909,490,10/9/2013 6:52,Spear at Folsom,49,10/9/2013 7:00,5th at Howard,57,618,Subscriber,94105
50914,355,10/9/2013 6:57,2nd at Folsom,62,10/9/2013 7:03,San Francisco Caltrain 2 (330 Townsend),69,611,Subscriber,94105
50915,444,10/9/2013 6:57,San Francisco Caltrain 2 (330 Townsend),69,10/9/2013 7:05,Howard at 2nd,63,591,Subscriber,94107
50916,510,10/9/2013 7:00,Rengstorff Avenue / California Street,33,10/9/2013 7:08,Mountain View Caltrain Station,28,155,Subscriber,94040
50917,268,10/9/2013 7:00,Mountain View Caltrain Station,28,10/9/2013 7:05,Mountain View City Hall,27,71,Subscriber,95126
50918,445,10/9/2013 7:02,Mechanics Plaza (Market at Battery),75,10/9/2013 7:09,San Francisco Caltrain (Townsend at 4th),70,343,Subscriber,94109
50920,738,10/9/2013 7:03,Harry Bridges Plaza (Ferry Building),50,10/9/2013 7:16,2nd at South Park,64,333,Customer,94577
50921,693,10/9/2013 7:04,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:15,Embarcadero at Folsom,51,617,Subscriber,94404
50922,353,10/9/2013 7:07,Temporary Transbay Terminal (Howard at Beale),55,10/9/2013 7:13,2nd at Townsend,61,538,Subscriber,94610
50923,281,10/9/2013 7:07,Grant Avenue at Columbus Avenue,73,10/9/2013 7:12,Mechanics Plaza (Market at Battery),75,537,Subscriber,94133
50924,617,10/9/2013 7:10,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:21,Harry Bridges Plaza (Ferry Building),50,343,Subscriber,94158
50925,439,10/9/2013 7:11,Civic Center BART (7th at Market),72,10/9/2013 7:19,San Francisco Caltrain (Townsend at 4th),70,360,Subscriber,94102
50930,296,10/9/2013 7:17,Grant Avenue at Columbus Avenue,73,10/9/2013 7:21,Mechanics Plaza (Market at Battery),75,543,Subscriber,94133
50931,3087,10/9/2013 7:17,Davis at Jackson,42,10/9/2013 8:08,Market at 10th,67,393,Customer,94104
50932,453,10/9/2013 7:18,Paseo de San Antonio,7,10/9/2013 7:25,Japantown,9,661,Subscriber,95112
50934,157,10/9/2013 7:19,Beale at Market,56,10/9/2013 7:22,Harry Bridges Plaza (Ferry Building),50,290,Subscriber,94611
50936,531,10/9/2013 7:20,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:29,Temporary Transbay Terminal (Howard at Beale),55,360,Subscriber,94025
50937,1372,10/9/2013 7:20,Grant Avenue at Columbus Avenue,73,10/9/2013 7:43,2nd at South Park,64,469,Subscriber,94133
50939,554,10/9/2013 7:21,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:30,Post at Kearney,47,626,Subscriber,94403
50940,774,10/9/2013 7:21,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:34,Clay at Battery,41,354,Subscriber,94306
50941,556,10/9/2013 7:21,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:30,Embarcadero at Folsom,51,504,Subscriber,94062
50942,746,10/9/2013 7:21,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:33,Embarcadero at Folsom,51,461,Subscriber,94062
50943,477,10/9/2013 7:23,San Francisco Caltrain 2 (330 Townsend),69,10/9/2013 7:31,5th at Howard,57,457,Subscriber,94102
50944,513,10/9/2013 7:23,Embarcadero at Sansome,60,10/9/2013 7:31,Market at Sansome,77,462,Subscriber,94133
50945,356,10/9/2013 7:24,Temporary Transbay Terminal (Howard at Beale),55,10/9/2013 7:30,2nd at Townsend,61,454,Subscriber,94107
50946,587,10/9/2013 7:24,Steuart at Market,74,10/9/2013 7:34,2nd at Townsend,61,542,Subscriber,94549
50947,644,10/9/2013 7:26,Temporary Transbay Terminal (Howard at Beale),55,10/9/2013 7:36,Market at 10th,67,265,Subscriber,94602
50948,217,10/9/2013 7:27,Howard at 2nd,63,10/9/2013 7:30,2nd at South Park,64,591,Subscriber,94618
50949,848,10/9/2013 7:28,Washington at Kearney,46,10/9/2013 7:42,Market at 10th,67,554,Subscriber,94085
50950,353,10/9/2013 7:28,Harry Bridges Plaza (Ferry Building),50,10/9/2013 7:34,Market at Sansome,77,573,Subscriber,94510
50952,280,10/9/2013 7:29,San Jose Diridon Caltrain Station,2,10/9/2013 7:34,Adobe on Almaden,5,64,Subscriber,94040
50953,625,10/9/2013 7:29,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:40,Steuart at Market,74,439,Subscriber,94158
50954,464,10/9/2013 7:30,Spear at Folsom,49,10/9/2013 7:38,San Francisco Caltrain 2 (330 Townsend),69,424,Subscriber,94105
50955,566,10/9/2013 7:31,Embarcadero at Sansome,60,10/9/2013 7:40,Embarcadero at Folsom,51,478,Subscriber,95448
50956,593,10/9/2013 7:32,Golden Gate at Polk,59,10/9/2013 7:42,San Francisco Caltrain (Townsend at 4th),70,395,Subscriber,94109
50958,202,10/9/2013 7:33,Harry Bridges Plaza (Ferry Building),50,10/9/2013 7:37,Spear at Folsom,49,290,Subscriber,94611
50960,458,10/9/2013 7:34,2nd at South Park,64,10/9/2013 7:42,Beale at Market,56,278,Subscriber,94107
50965,1088,10/9/2013 7:38,Steuart at Market,74,10/9/2013 7:56,Townsend at 7th,65,433,Customer,94591
50966,409,10/9/2013 7:38,Temporary Transbay Terminal (Howard at Beale),55,10/9/2013 7:45,Market at 4th,76,506,Subscriber,94703
50967,735,10/9/2013 7:39,Harry Bridges Plaza (Ferry Building),50,10/9/2013 7:51,2nd at Townsend,61,624,Subscriber,94960
50968,511,10/9/2013 7:39,Market at 4th,76,10/9/2013 7:48,2nd at South Park,64,596,Subscriber,94602
50969,658,10/9/2013 7:39,Rengstorff Avenue / California Street,33,10/9/2013 7:50,Mountain View Caltrain Station,28,627,Subscriber,94040
50970,464,10/9/2013 7:42,Market at 4th,76,10/9/2013 7:49,Townsend at 7th,65,477,Subscriber,94108
50971,316,10/9/2013 7:42,Grant Avenue at Columbus Avenue,73,10/9/2013 7:47,Harry Bridges Plaza (Ferry Building),50,412,Subscriber,94133
50972,324,10/9/2013 7:43,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:48,2nd at Townsend,61,273,Subscriber,94404
50973,433,10/9/2013 7:42,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:50,Yerba Buena Center of the Arts (3rd @ Howard),68,395,Subscriber,95014
50974,569,10/9/2013 7:43,Golden Gate at Polk,59,10/9/2013 7:52,Howard at 2nd,63,586,Subscriber,94110
50975,553,10/9/2013 7:43,Powell Street BART,39,10/9/2013 7:52,Howard at 2nd,63,271,Subscriber,94102
50976,392,10/9/2013 7:44,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:50,2nd at Folsom,62,562,Subscriber,94087
50977,403,10/9/2013 7:44,Steuart at Market,74,10/9/2013 7:50,Embarcadero at Sansome,60,527,Subscriber,94530
50978,456,10/9/2013 7:44,Townsend at 7th,65,10/9/2013 7:51,South Van Ness at Market,66,421,Subscriber,94612
50979,336,10/9/2013 7:44,Grant Avenue at Columbus Avenue,73,10/9/2013 7:50,Mechanics Plaza (Market at Battery),75,342,Subscriber,94133
50980,677,10/9/2013 7:44,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:56,Embarcadero at Folsom,51,498,Subscriber,95014
50983,722,10/9/2013 7:46,Market at 4th,76,10/9/2013 7:58,Embarcadero at Sansome,60,505,Subscriber,94114
50986,665,10/9/2013 7:48,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 7:59,Harry Bridges Plaza (Ferry Building),50,474,Subscriber,94070
50988,312,10/9/2013 7:48,Spear at Folsom,49,10/9/2013 7:53,Embarcadero at Vallejo,48,319,Subscriber,94105
50989,321,10/9/2013 7:48,Embarcadero at Bryant,54,10/9/2013 7:53,San Francisco Caltrain (Townsend at 4th),70,317,Subscriber,94105
50990,480,10/9/2013 7:48,Paseo de San Antonio,7,10/9/2013 7:56,San Jose Diridon Caltrain Station,2,53,Subscriber,95112
50991,499,10/9/2013 7:48,Embarcadero at Bryant,54,10/9/2013 7:57,San Francisco Caltrain (Townsend at 4th),70,453,Subscriber,94105
50994,498,10/9/2013 7:50,Embarcadero at Bryant,54,10/9/2013 7:58,Embarcadero at Vallejo,48,494,Subscriber,94107
50995,687,10/9/2013 7:50,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 8:01,Market at Sansome,77,572,Subscriber,94010
50996,596,10/9/2013 7:50,Steuart at Market,74,10/9/2013 8:00,San Francisco Caltrain 2 (330 Townsend),69,291,Subscriber,94549
50997,613,10/9/2013 7:50,South Van Ness at Market,66,10/9/2013 8:00,Market at Sansome,77,612,Subscriber,94114
50998,664,10/9/2013 7:50,Howard at 2nd,63,10/9/2013 8:02,Embarcadero at Sansome,60,326,Subscriber,94105
50999,428,10/9/2013 7:53,Civic Center BART (7th at Market),72,10/9/2013 8:00,Townsend at 7th,65,516,Subscriber,94556
51001,304,10/9/2013 7:55,Market at Sansome,77,10/9/2013 8:00,2nd at Folsom,62,549,Subscriber,94518
51002,260,10/9/2013 7:56,San Salvador at 1st,8,10/9/2013 8:00,MLK Library,11,656,Subscriber,95113
51003,744,10/9/2013 7:56,Golden Gate at Polk,59,10/9/2013 8:08,San Francisco Caltrain (Townsend at 4th),70,541,Subscriber,94109
51004,390,10/9/2013 7:56,Grant Avenue at Columbus Avenue,73,10/9/2013 8:02,Steuart at Market,74,432,Subscriber,94133
51006,517,10/9/2013 7:57,Civic Center BART (7th at Market),72,10/9/2013 8:06,San Francisco Caltrain (Townsend at 4th),70,581,Subscriber,94103
51007,1030,10/9/2013 7:58,Market at 10th,67,10/9/2013 8:15,Commercial at Montgomery,45,366,Subscriber,94122
51009,334,10/9/2013 7:59,Beale at Market,56,10/9/2013 8:04,Spear at Folsom,49,509,Subscriber,94542
51010,1110,10/9/2013 7:59,Temporary Transbay Terminal (Howard at Beale),55,10/9/2013 8:18,Golden Gate at Polk,59,630,Subscriber,94610
51011,585,10/9/2013 7:59,Embarcadero at Bryant,54,10/9/2013 8:09,San Francisco Caltrain (Townsend at 4th),70,563,Subscriber,94105
51012,334,10/9/2013 8:00,Powell at Post (Union Square),71,10/9/2013 8:05,Howard at 2nd,63,387,Subscriber,94105
51013,426,10/9/2013 8:00,Harry Bridges Plaza (Ferry Building),50,10/9/2013 8:07,Embarcadero at Sansome,60,474,Subscriber,94110
51014,765,10/9/2013 8:00,San Francisco Caltrain (Townsend at 4th),70,10/9/2013 8:13,Davis at Jackson,42,542,Subscriber,94070
