Date,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Max_Dew_Point_F,MeanDew_Point_F,Min_Dewpoint_F,Max_Humidity,Mean_Humidity ,Min_Humidity ,Max_Sea_Level_Pressure_In ,Mean_Sea_Level_Pressure_In ,Min_Sea_Level_Pressure_In ,Max_Visibility_Miles ,Mean_Visibility_Miles ,Min_Visibility_Miles ,Max_Wind_Speed_MPH ,Mean_Wind_Speed_MPH ,Max_Gust_Speed_MPH,Precipitation_In ,Cloud_Cover ,Events,Wind_Dir_Degrees,zip
9/30/2013,76,67,58,62,56,41,93,71,48,30.1,30.05,29.99,10,10,10,18,7,23.0,0,2,,348,94301
10/1/2013,72,63,53,53,47,41,72,58,44,30.04,30.0,29.95,10,10,10,18,5,22.0,0,0,,350,94301
10/2/2013,74,64,53,52,48,42,83,61,39,30.04,29.99,29.96,10,10,10,22,5,24.0,0,0,,341,94301
10/3/2013,74,63,51,44,37,31,64,43,22,30.1,30.03,29.97,10,10,10,17,7,25.0,0,0,,297,94301
10/4/2013,82,70,58,35,31,27,36,25,14,30.12,30.06,29.99,10,10,10,22,9,30.0,0,0,,6,94301
10/5/2013,85,68,51,38,34,28,54,34,14,30.22,30.15,30.11,10,10,10,10,2,12.0,0,0,,340,94301
10/6/2013,82,67,52,47,40,36,59,40,20,30.14,30.08,30.01,10,10,10,10,3,13.0,0,0,,321,94301
10/7/2013,81,67,53,52,42,29,69,43,16,30.01,29.96,29.9,10,10,10,15,4,17.0,0,0,,345,94301
10/8/2013,74,62,50,54,47,42,77,56,35,29.93,29.85,29.76,10,10,10,16,6,20.0,0,0,,354,94301
10/9/2013,69,60,50,47,45,41,77,58,39,29.78,29.7,29.66,10,10,10,16,4,18.0,0,2,,63,94301
10/10/2013,71,61,51,51,46,41,83,64,44,30.04,29.92,29.79,10,10,10,18,6,21.0,0,0,,348,94301
10/11/2013,66,57,48,51,48,45,86,73,60,30.11,30.05,30.01,10,10,9,15,4,18.0,0,0,,341,94301
10/12/2013,69,60,50,52,48,40,96,71,46,30.03,29.99,29.94,10,9,4,20,5,22.0,0,2,,344,94301
10/13/2013,74,61,48,49,45,41,86,60,33,30.09,30.02,29.96,10,10,10,14,3,20.0,0,0,,326,94301
10/14/2013,79,63,47,45,40,36,74,48,22,30.14,30.08,30.01,10,10,10,9,3,,0,0,,318,94301
10/15/2013,81,66,50,43,36,31,63,40,17,30.06,30.02,29.96,10,10,10,14,3,16.0,0,0,,325,94301
10/16/2013,81,65,49,51,39,31,59,39,18,30.1,30.06,30.02,10,10,10,12,2,16.0,0,0,,334,94301
